PA,AgeGroup,Time,TotalPop
Geylang,80 to 89,2023,4260
Geylang,90 and Over,2023,1020
Hougang,0 to 9,2023,18460
Hougang,10 to 19,2023,20430
Hougang,20 to 29,2023,28620
Hougang,30 to 39,2023,34190
Hougang,40 to 49,2023,30840
Hougang,50 to 59,2023,33570
Hougang,60 to 69,2023,35430
Hougang,70 to 79,2023,19010
Hougang,80 to 89,2023,6610
Hougang,90 and Over,2023,1180
Jurong East,0 to 9,2023,4830
Jurong East,10 to 19,2023,6820
Jurong East,20 to 29,2023,9550
Jurong East,30 to 39,2023,10180
Jurong East,40 to 49,2023,10380
Jurong East,50 to 59,2023,11350
Jurong East,60 to 69,2023,12380
Jurong East,70 to 79,2023,8140
Jurong East,80 to 89,2023,2450
Jurong East,90 and Over,2023,410
Jurong West,0 to 9,2023,21420
Jurong West,10 to 19,2023,29220
Jurong West,20 to 29,2023,35090
Jurong West,30 to 39,2023,36430
Jurong West,40 to 49,2023,40310
Jurong West,50 to 59,2023,39610
Jurong West,60 to 69,2023,34010
Jurong West,70 to 79,2023,18300
Jurong West,80 to 89,2023,5110
Jurong West,90 and Over,2023,840
Kallang,0 to 9,2023,7550
Kallang,10 to 19,2023,8230
Kallang,20 to 29,2023,10130
Kallang,30 to 39,2023,14620
Kallang,40 to 49,2023,15410
Kallang,50 to 59,2023,14920
Kallang,60 to 69,2023,14730
Kallang,70 to 79,2023,10560
Kallang,80 to 89,2023,4540
Kallang,90 and Over,2023,1060
Lim Chu Kang,0 to 9,2023,0
Lim Chu Kang,10 to 19,2023,0
Lim Chu Kang,20 to 29,2023,0
Lim Chu Kang,30 to 39,2023,0
Lim Chu Kang,40 to 49,2023,0
Lim Chu Kang,50 to 59,2023,0
Lim Chu Kang,60 to 69,2023,0
Lim Chu Kang,70 to 79,2023,0
Lim Chu Kang,80 to 89,2023,0
Lim Chu Kang,90 and Over,2023,0
Mandai,0 to 9,2023,170
Mandai,10 to 19,2023,230
Mandai,20 to 29,2023,330
Mandai,30 to 39,2023,280
Mandai,40 to 49,2023,270
Mandai,50 to 59,2023,350
Mandai,60 to 69,2023,290
Mandai,70 to 79,2023,140
Mandai,80 to 89,2023,40
Mandai,90 and Over,2023,10
Marina East,0 to 9,2023,0
Marina East,10 to 19,2023,0
Marina East,20 to 29,2023,0
Marina East,30 to 39,2023,0
Marina East,40 to 49,2023,0
Marina East,50 to 59,2023,0
Marina East,60 to 69,2023,0
Marina East,70 to 79,2023,0
Marina East,80 to 89,2023,0
Marina East,90 and Over,2023,0
Marina South,0 to 9,2023,0
Marina South,10 to 19,2023,0
Marina South,20 to 29,2023,0
Marina South,30 to 39,2023,0
Marina South,40 to 49,2023,0
Marina South,50 to 59,2023,0
Marina South,60 to 69,2023,0
Marina South,70 to 79,2023,0
Marina South,80 to 89,2023,0
Marina South,90 and Over,2023,0
Marine Parade,0 to 9,2023,4200
Marine Parade,10 to 19,2023,4780
Marine Parade,20 to 29,2023,4700
Marine Parade,30 to 39,2023,5580
Marine Parade,40 to 49,2023,7630
Marine Parade,50 to 59,2023,7140
Marine Parade,60 to 69,2023,5810
Marine Parade,70 to 79,2023,4310
Marine Parade,80 to 89,2023,2240
Marine Parade,90 and Over,2023,550
Museum,0 to 9,2023,50
Museum,10 to 19,2023,10
Museum,20 to 29,2023,20
Museum,30 to 39,2023,150
Museum,40 to 49,2023,200
Museum,50 to 59,2023,90
Museum,60 to 69,2023,0
Museum,70 to 79,2023,0
Museum,80 to 89,2023,0
Museum,90 and Over,2023,0
Newton,0 to 9,2023,1080
Newton,10 to 19,2023,1130
Newton,20 to 29,2023,840
Newton,30 to 39,2023,1350
Newton,40 to 49,2023,1750
Newton,50 to 59,2023,1520
Newton,60 to 69,2023,1060
Newton,70 to 79,2023,640
Newton,80 to 89,2023,190
Newton,90 and Over,2023,90
North-Eastern Islands,0 to 9,2023,0
North-Eastern Islands,10 to 19,2023,0
North-Eastern Islands,20 to 29,2023,0
North-Eastern Islands,30 to 39,2023,0
North-Eastern Islands,40 to 49,2023,0
North-Eastern Islands,50 to 59,2023,0
North-Eastern Islands,60 to 69,2023,0
North-Eastern Islands,70 to 79,2023,0
North-Eastern Islands,80 to 89,2023,0
North-Eastern Islands,90 and Over,2023,0
Novena,0 to 9,2023,4940
Novena,10 to 19,2023,5330
Novena,20 to 29,2023,5210
Novena,30 to 39,2023,7370
Novena,40 to 49,2023,8600
Novena,50 to 59,2023,7590
Novena,60 to 69,2023,6080
Novena,70 to 79,2023,4110
Novena,80 to 89,2023,2070
Novena,90 and Over,2023,460
Orchard,0 to 9,2023,30
Orchard,10 to 19,2023,100
Orchard,20 to 29,2023,20
